guest,Thu Oct 01 2020 00:00:00 GMT+0900 (GMT+09:00),65.3
guest,Fri Oct 02 2020 00:00:00 GMT+0900 (GMT+09:00),65.7
guest,Sat Oct 03 2020 00:00:00 GMT+0900 (GMT+09:00),66.0
guest,Sun Oct 04 2020 00:00:00 GMT+0900 (GMT+09:00),66.3
guest,Mon Oct 05 2020 00:00:00 GMT+0900 (GMT+09:00),66.7
guest,Tue Oct 06 2020 00:00:00 GMT+0900 (GMT+09:00),67.0
guest,Wed Oct 07 2020 00:00:00 GMT+0900 (GMT+09:00),67.3
guest,Thu Oct 08 2020 00:00:00 GMT+0900 (GMT+09:00),67.7
guest,Fri Oct 09 2020 00:00:00 GMT+0900 (GMT+09:00),68.0
guest,Sat Oct 10 2020 00:00:00 GMT+0900 (GMT+09:00),68.3
guest,Sun Oct 11 2020 00:00:00 GMT+0900 (GMT+09:00),68.7
guest,Tue Oct 13 2020 00:00:00 GMT+0900 (GMT+09:00),69.3
guest,Wed Oct 14 2020 00:00:00 GMT+0900 (GMT+09:00),69.7
guest,Thu Oct 15 2020 00:00:00 GMT+0900 (GMT+09:00),70.0
guest,Fri Oct 16 2020 00:00:00 GMT+0900 (GMT+09:00),70.3
guest,Sat Oct 17 2020 00:00:00 GMT+0900 (GMT+09:00),70.7
guest,Sun Oct 18 2020 17:47:59 GMT+0900 (GMT+09:00),60
guest,Sun Oct 18 2020 17:50:19 GMT+0900 (GMT+09:00),65.4
guest,Sun Oct 18 2020 17:50:28 GMT+0900 (GMT+09:00),66.5
